Satellite1,Satellite2,Distance,Orbit
293,292,1969.9219203880757,13
293,294,1969.9219694419446,13
294,293,1969.9219694419446,13
294,295,1969.9220744507268,13
295,294,1969.9220744507268,13
295,296,1969.921919324667,13
296,295,1969.921919324667,13
296,297,1969.92202956014,13
297,296,1969.92202956014,13
297,298,1969.9219712973693,13
298,297,1969.9219712973693,13
298,299,1969.9219936651723,13
299,298,1969.9219936651723,13
299,300,1969.9219902323862,13
300,299,1969.9219902323862,13
300,301,1969.9220258137732,13
301,300,1969.9220258137732,13
301,302,1969.9219601436926,13
302,301,1969.9219601436926,13
302,303,1969.9220508490034,13
303,302,1969.9220508490034,13
303,304,1969.9219203880762,13
304,303,1969.9219203880762,13
304,305,1969.9219694419435,13
305,304,1969.9219694419435,13
305,306,1969.9220744507293,13
306,305,1969.9220744507293,13
306,307,1969.9219193246672,13
307,306,1969.9219193246672,13
307,308,1969.9220295601413,13
308,307,1969.9220295601413,13
308,287,1969.921971297368,13
309,330,1969.9219606889717,14
309,310,1969.9219594940312,14
310,309,1969.9219594940312,14
310,311,1969.921955259112,14
311,310,1969.921955259112,14
311,312,1969.9220499308026,14
312,311,1969.9220499308026,14
312,313,1969.9219572302497,14
313,312,1969.9219572302497,14
313,314,1969.922015572287,14
314,313,1969.922015572287,14
314,315,1969.9220082100771,14
315,314,1969.9220082100771,14
315,316,1969.9219560565875,14
316,315,1969.9219560565875,14
316,317,1969.921954662292,14
317,316,1969.921954662292,14
317,318,1969.9220482177918,14
318,317,1969.9220482177918,14
318,319,1969.9220398447453,14
319,318,1969.9220398447453,14
319,320,1969.9219606889706,14
320,319,1969.9219606889706,14
320,321,1969.9219594940328,14
321,320,1969.9219594940328,14
321,322,1969.921955259111,14
322,321,1969.921955259111,14
322,323,1969.9220499308033,14
323,322,1969.9220499308033,14
323,324,1969.9219572302504,14
324,323,1969.9219572302504,14
324,325,1969.9220155722842,14
325,324,1969.9220155722842,14
325,326,1969.9220082100778,14
326,325,1969.9220082100778,14
326,327,1969.9219560565884,14
327,326,1969.9219560565884,14
327,328,1969.9219546622928,14
328,327,1969.9219546622928,14
328,329,1969.9220482177923,14
329,328,1969.9220482177923,14
329,330,1969.9220398447442,14
330,329,1969.9220398447442,14
330,309,1969.9219606889717,14
331,352,1969.921926416345,15
331,332,1969.9219913436168,15
332,331,1969.9219913436168,15
332,333,1969.9219975099836,15
333,332,1969.9219975099836,15
333,334,1969.9219962797333,15
334,333,1969.9219962797333,15
334,335,1969.9220220039147,15
335,334,1969.9220220039147,15
335,336,1969.9219249598389,15
336,335,1969.9219249598389,15
336,337,1969.9220380874149,15
337,336,1969.9220380874149,15
337,338,1969.9219855836755,15
338,337,1969.9219855836755,15
338,339,1969.9219464950745,15
339,338,1969.9219464950745,15
339,340,1969.9220254520467,15
340,339,1969.9220254520467,15
340,341,1969.922051035301,15
341,340,1969.922051035301,15
341,342,1969.9219264163464,15
342,341,1969.9219264163464,15
342,343,1969.9219913436152,15
343,342,1969.9219913436152,15
343,344,1969.9219975099838,15
344,343,1969.9219975099838,15
344,345,1969.9219962797326,15
345,344,1969.9219962797326,15
345,346,1969.9220220039151,15
346,345,1969.9220220039151,15
346,347,1969.9219249598382,15
347,346,1969.9219249598382,15
347,348,1969.9220380874158,15
348,347,1969.9220380874158,15
348,349,1969.9219855836743,15
349,348,1969.9219855836743,15
349,350,1969.9219464950752,15
350,349,1969.9219464950752,15
350,351,1969.9220254520483,15
351,350,1969.9220254520483,15
351,352,1969.9220510352995,15
352,351,1969.9220510352995,15
352,331,1969.921926416345,15
353,374,1969.9220081963997,16
353,354,1969.9219728885548,16
354,353,1969.9219728885548,16
354,355,1969.9219692497898,16
355,354,1969.9219692497898,16
355,356,1969.9220438999969,16
356,355,1969.9220438999969,16
356,357,1969.921942309007,16
357,356,1969.921942309007,16
357,358,1969.9220505331075,16
358,357,1969.9220505331075,16
358,359,1969.9220101581855,16
359,358,1969.9220101581855,16
359,360,1969.9219859299963,16
360,359,1969.9219859299963,16
360,361,1969.9219780173614,16
361,360,1969.9219780173614,16
361,362,1969.9219616550397,16
362,361,1969.9219616550397,16
362,363,1969.9219823295073,16
363,362,1969.9219823295073,16
363,364,1969.9220081963986,16
364,363,1969.9220081963986,16
364,365,1969.9219728885541,16
365,364,1969.9219728885541,16
365,366,1969.9219692497904,16
366,365,1969.9219692497904,16
366,367,1969.9220438999973,16
367,366,1969.9220438999973,16
367,368,1969.9219423090076,16
368,367,1969.9219423090076,16
368,369,1969.9220505331052,16
369,368,1969.9220505331052,16
369,370,1969.9220101581857,16
370,369,1969.9220101581857,16
370,371,1969.9219859299974,16
371,370,1969.9219859299974,16
371,372,1969.921978017362,16
372,371,1969.921978017362,16
372,373,1969.921961655039,16
373,372,1969.921961655039,16
373,374,1969.9219823295073,16
374,373,1969.9219823295073,16
374,353,1969.9220081963997,16
375,396,1969.921982270616,17
375,376,1969.9220157028878,17
376,375,1969.9220157028878,17
376,377,1969.9219963971843,17
377,376,1969.9219963971843,17
377,378,1969.9219354426928,17
378,377,1969.9219354426928,17
378,379,1969.9220553612843,17
379,378,1969.9220553612843,17
379,380,1969.9219832653012,17
380,379,1969.9219832653012,17
380,381,1969.921947655536,17
381,380,1969.921947655536,17
381,382,1969.9220364725177,17
382,381,1969.9220364725177,17
382,383,1969.9219716338941,17
383,382,1969.9219716338941,17
383,384,1969.9220262475883,17
384,383,1969.9220262475883,17
384,385,1969.921954717442,17
385,384,1969.921954717442,17
385,386,1969.9219822706182,17
386,385,1969.9219822706182,17
386,387,1969.9220157028858,17
387,386,1969.9220157028858,17
387,388,1969.9219963971852,17
388,387,1969.9219963971852,17
388,389,1969.9219354426928,17
389,388,1969.9219354426928,17
389,390,1969.9220553612854,17
390,389,1969.9220553612854,17
390,391,1969.9219832653002,17
391,390,1969.9219832653002,17
391,392,1969.9219476555365,17
392,391,1969.9219476555365,17
392,393,1969.9220364725172,17
393,392,1969.9220364725172,17
393,394,1969.9219716338935,17
394,393,1969.9219716338935,17
394,395,1969.9220262475892,17
395,394,1969.9220262475892,17
395,396,1969.921954717444,17
396,395,1969.921954717444,17
396,375,1969.921982270616,17
397,418,1969.9219833077116,18
397,398,1969.9219757365743,18
398,397,1969.9219757365743,18
398,399,1969.9219556126563,18
399,398,1969.9219556126563,18
399,400,1969.9220091125621,18
400,399,1969.9220091125621,18
400,401,1969.9219603334059,18
401,400,1969.9219603334059,18
401,402,1969.9219671031933,18
402,401,1969.9219671031933,18
402,403,1969.9220971905688,18
403,402,1969.9220971905688,18
403,404,1969.9220153699814,18
404,403,1969.9220153699814,18
404,405,1969.921848888824,18
405,404,1969.921848888824,18
405,406,1969.922056075323,18
406,405,1969.922056075323,18
406,407,1969.9220364361468,18
407,406,1969.9220364361468,18
407,408,1969.921983307712,18
408,407,1969.921983307712,18
408,409,1969.9219757365763,18
409,408,1969.9219757365763,18
409,410,1969.9219556126548,18
410,409,1969.9219556126548,18
410,411,1969.9220091125624,18
411,410,1969.9220091125624,18
411,412,1969.9219603334059,18
412,411,1969.9219603334059,18
412,413,1969.9219671031935,18
413,412,1969.9219671031935,18
413,414,1969.9220971905659,18
414,413,1969.9220971905659,18
414,415,1969.922015369985,18
415,414,1969.922015369985,18
415,416,1969.9218488888218,18
416,415,1969.9218488888218,18
416,417,1969.9220560753242,18
417,416,1969.9220560753242,18
417,418,1969.9220364361472,18
418,417,1969.9220364361472,18
418,397,1969.9219833077116,18
419,440,1969.921990668017,19
419,420,1969.9220002894317,19
420,419,1969.9220002894317,19
420,421,1969.922027278372,19
421,420,1969.922027278372,19
421,422,1969.9219744711797,19
422,421,1969.9219744711797,19
422,423,1969.9220107592619,19
423,422,1969.9220107592619,19
423,424,1969.9219563186307,19
424,423,1969.9219563186307,19
424,425,1969.9220389552338,19
425,424,1969.9220389552338,19
425,426,1969.921964988503,19
426,425,1969.921964988503,19
426,427,1969.9219881656031,19
427,426,1969.9219881656031,19
427,428,1969.9219171537384,19
428,427,1969.9219171537384,19
428,429,1969.922036118977,19
429,428,1969.922036118977,19
429,430,1969.9219906680164,19
430,429,1969.9219906680164,19
430,431,1969.9220002894306,19
431,430,1969.9220002894306,19
431,432,1969.9220272783725,19
432,431,1969.9220272783725,19
432,433,1969.9219744711804,19
433,432,1969.9219744711804,19
433,434,1969.9220107592612,19
434,433,1969.9220107592612,19
434,435,1969.921956318632,19
435,434,1969.921956318632,19
435,436,1969.922038955234,19
436,435,1969.922038955234,19
436,437,1969.9219649885001,19
437,436,1969.9219649885001,19
437,438,1969.921988165605,19
438,437,1969.921988165605,19
438,439,1969.92191715374,19
439,438,1969.92191715374,19
439,440,1969.922036118975,19
440,439,1969.922036118975,19
440,419,1969.921990668017,19
441,462,1969.9220395352884,20
441,442,1969.9219891025366,20
442,441,1969.9219891025366,20
442,443,1969.9220005203251,20
443,442,1969.9220005203251,20
443,444,1969.9219724683576,20
444,443,1969.9219724683576,20
444,445,1969.921994632574,20
445,444,1969.921994632574,20
445,446,1969.9219785437444,20
446,445,1969.9219785437444,20
446,447,1969.922016089519,20
447,446,1969.922016089519,20
447,448,1969.9220002613029,20
448,447,1969.9220002613029,20
448,449,1969.922022095654,20
449,448,1969.922022095654,20
449,450,1969.9220120009206,20
450,449,1969.9220120009206,20
450,451,1969.9218799167274,20
451,450,1969.9218799167274,20
451,452,1969.9220395352893,20
452,451,1969.9220395352893,20
452,453,1969.9219891025348,20
453,452,1969.9219891025348,20
453,454,1969.9220005203251,20
454,453,1969.9220005203251,20
454,455,1969.921972468359,20
455,454,1969.921972468359,20
455,456,1969.9219946325727,20
456,455,1969.9219946325727,20
456,457,1969.9219785437451,20
457,456,1969.9219785437451,20
457,458,1969.9220160895188,20
458,457,1969.9220160895188,20
458,459,1969.922000261303,20
459,458,1969.922000261303,20
459,460,1969.9220220956533,20
460,459,1969.9220220956533,20
460,461,1969.9220120009213,20
461,460,1969.9220120009213,20
461,462,1969.9218799167274,20
462,461,1969.9218799167274,20
462,441,1969.9220395352884,20
463,484,1969.9219489032653,21
463,464,1969.9219892379358,21
464,463,1969.9219892379358,21
464,465,1969.9220642044265,21
465,464,1969.9220642044265,21
465,466,1969.921937887436,21
466,465,1969.921937887436,21
466,467,1969.9220436116339,21
467,466,1969.9220436116339,21
467,468,1969.9219651236278,21
468,467,1969.9219651236278,21
468,469,1969.9219472637903,21
469,468,1969.9219472637903,21
469,470,1969.922038112939,21
470,469,1969.922038112939,21
470,471,1969.9219714148694,21
471,470,1969.9219714148694,21
471,472,1969.9220809856843,21
472,471,1969.9220809856843,21
